,site,date,time_period,site-date,site-time_period,date-time_period,site-date-time_period
0,0.5813024766373198,-inf,-inf,0.14330444250421692,-inf,-inf,0.3862920634167465
1,-inf,-inf,-inf,0.09127742467887612,0.01104960493405116,-inf,0.15045885468259856
2,-inf,-inf,-inf,-0.20864697313273228,-inf,0.4351720068907614,-0.09802075553305514
3,-inf,-inf,-inf,-0.03198262731416168,0.23780389838464977,0.2928281973742308,-0.012040575579986085
4,0.24096146226427884,-inf,-inf,0.01908161903117045,0.1612445003701195,0.05445098633340972,0.02487013051320422
5,1.2586302825304472,-inf,-inf,-0.07388549871494354,-0.00152039995715203,0.267481288913082,-0.061514549935563795
6,-inf,-inf,-inf,0.10979522590760715,0.0571163150399947,-inf,-0.1568091257183297
7,0.28723055107609863,-inf,-inf,0.1303320644060051,1.0616071870067643,1.7686174885020223,-0.10799960152004431
8,-inf,-0.04700878276971032,-inf,0.00031327773079525834,0.09770911985506991,-inf,-0.03503842221230699
9,-inf,-inf,-inf,-0.14887117555530693,0.28961917493875955,-0.002611339180332628,-0.1861533919508672
10,-inf,-inf,-inf,0.00476901956185527,0.08575053951534795,-inf,-0.0327012540996853
11,-inf,-inf,-inf,-0.12347210187059554,-inf,0.03516276100540061,0.2492511775111636
12,-inf,-inf,-inf,-0.22036332576690287,0.40765642573417527,-0.15209740836163554,-0.04198791475369021
13,0.38123956842333584,0.23378081068790824,-inf,-0.1759702384180788,-inf,-inf,-0.035150316064793824
14,0.023080513452498508,-inf,-inf,0.025974870833710195,0.4352649160946136,0.22098009017503273,-0.0017413382684853262
15,-inf,0.56957988887594,-inf,-0.008375913476722285,-inf,0.2709947966769368,-0.1869485472377362
16,0.4866564818032435,-inf,-inf,0.0315548329073001,0.6889491372090149,-inf,0.14823402899838511
17,-inf,-inf,-inf,-0.10708054364632869,1.0657781889471152,1.3238895582152321,-0.032454336308820136
18,-inf,-inf,-inf,0.30128849283149095,-inf,0.17822146741702216,-0.05210231043194766
19,0.27397178426724,-inf,-inf,-inf,0.11733452004911982,-inf,0.25258579955664656
20,-inf,-inf,-inf,0.09284123056151028,-0.2985387662293295,0.48940181373957703,0.04931225892136645
21,-inf,-inf,-inf,0.09869189349425112,-inf,-inf,-0.24046162700913595
22,0.29153684093261667,-inf,-inf,-0.0028196215683222725,-0.13845210596632285,0.16480147875044082,0.10539088782394039
23,-inf,-inf,-inf,0.1049448649699023,-inf,-0.002997336971120035,-0.3498747750839869
24,-inf,0.09220596886778587,-inf,-0.040818077841375366,-inf,0.23539967840416054,-0.29362172644246753
25,0.2083241475999058,-inf,-inf,0.13594530338461164,0.1185737208701303,-inf,-0.01060034045262287
26,-inf,-inf,-inf,0.01825979624791274,-inf,0.013905229894154658,-0.04829188170874624
27,-inf,-inf,-inf,0.11874321199660698,-inf,-inf,0.055828936608486895
28,-inf,-inf,-inf,0.24897855451592754,0.1521991897921975,0.08084138470394198,-0.2944857678678835
29,-inf,-inf,-inf,0.05668636048489062,-inf,-0.005858867099942877,-0.13859583067335438
30,-inf,0.16695268511113692,-inf,-0.032331325350426265,-0.16030798545147285,-inf,0.062367135205729285
31,-inf,-inf,-inf,-inf,0.18346545419484528,-inf,0.12020077943243661
32,-inf,-inf,-inf,0.16123046569812516,0.22528870780933374,0.13617266248060478,0.07150956888722251
33,-inf,0.5997174560214642,-inf,-0.16375853596617862,-inf,-inf,0.04274787375642111
34,-inf,-inf,-inf,-0.08522181809720242,0.1805131689771926,-inf,-0.06689644125732533
35,-inf,-inf,-inf,-0.24768359091217773,-inf,-inf,0.07951585756546822
36,-inf,-inf,-inf,-0.04380927000222745,-inf,0.406325215963502,-0.09947051905449947
37,-inf,-inf,-inf,0.0766016799928455,-inf,-inf,0.10360530575917194
38,-inf,-inf,-inf,-0.20033649185918456,-inf,-inf,-0.01995348021992635
39,-inf,-inf,-inf,-0.06385093877875403,-inf,-0.012629941647404053,-0.11456769652607332
40,0.27851790901076257,0.12177236117532342,-inf,0.17850293685805907,-0.07106632959375947,0.11330653769454901,-0.15417137344797224
41,-inf,-inf,-inf,0.11788379910179514,-inf,-inf,-0.12955965196677424
42,-inf,-inf,-inf,0.17421787346573625,0.2752782471785933,-0.04899575690449609,-0.05546015866433915
43,-inf,-inf,-inf,-0.06382203242494766,-inf,0.02197934953900038,0.22527760021289647
44,-inf,-inf,-inf,0.03665207829943906,0.38186020979800883,0.4365076365038387,-0.23106483740463793
45,0.21790507698983852,-inf,-inf,0.05326547146707972,0.14731629106958977,0.40910113525929415,-0.14487396800089988
46,-inf,-inf,-inf,0.06365626452036777,-inf,-inf,-0.19102286380519076
47,-inf,0.04893124516837766,-inf,0.04070098101434838,-inf,,0.19882869912382306
48,-inf,-inf,-inf,0.12247682831574869,0.23450754241864935,0.14023599290007827,-0.2064472301881011
49,-inf,-inf,-inf,0.17387736403437937,0.012522639364806132,-inf,0.13401989069508397
50,0.07832816862543446,-inf,-inf,-0.09064462953449492,-inf,0.2980017471369685,0.05174611913637564
51,-inf,-inf,-inf,0.15651272778623615,inf,0.29465314699455725,-0.025826308334642806
52,-inf,-inf,-inf,-0.03214886056687294,0.02874077669281494,-inf,0.061187517386355694
53,-inf,-inf,-inf,0.11349832661374126,0.008279235820455533,0.4559713850750686,-0.09068503074884673
54,-inf,-inf,-inf,0.00453712881531998,0.24406964849904522,0.1065482384141676,-0.23119214766831006
55,0.22060069408904504,-inf,-inf,0.03734172089681165,-0.22144900675856682,-0.004596786909502271,0.017986865024730292
56,-inf,-inf,-inf,0.10232910894765324,0.4662076566786624,-inf,-0.1670625950644404
